idx,title_list,view_list,link_list,image_list
115,GOT7(갓세븐) HOTLINE #12,조회수 10만회,https://www.youtube.com/watch?v=Gq4eQkoSG-c,https://i.ytimg.com/vi/Gq4eQkoSG-c/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC23f-Y-vjrBiyK5oxwLtv3-Bt7Iw
116,GOT7(갓세븐) HOTLINE #11,조회수 12만회,https://www.youtube.com/watch?v=mrag1YnNThA,https://i.ytimg.com/vi/mrag1YnNThA/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLATMjuazgHjv6Vha2BqTquClrCGUA
117,GOT7(갓세븐) HOTLINE #10,조회수 15만회,https://www.youtube.com/watch?v=60a1cfU7jEs,https://i.ytimg.com/vi/60a1cfU7jEs/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLABJCecCi22TfEdIyrpdXFpzi1E8w
118,GOT7(갓세븐) HOTLINE #9,조회수 12만회,https://www.youtube.com/watch?v=-AoYUQBOrOU,https://i.ytimg.com/vi/-AoYUQBOrOU/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAKxpBMQQznW9xJ3HeWET5UeXpb9w
119,"GOT7(갓세븐) ""Call My Name"" Media Making Film",조회수 5.9만회,https://www.youtube.com/watch?v=MLRuGIvHi2c,https://i.ytimg.com/vi/MLRuGIvHi2c/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBhEX4pmiWgFCtbR4JZP2hYmkcmhg
120,GOT7(갓세븐) HOTLINE #8,조회수 14만회,https://www.youtube.com/watch?v=BSJOUXQVr7Q,https://i.ytimg.com/vi/BSJOUXQVr7Q/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAXEU1HzMAZqGr6xWJbth-TQJ_VTA
121,"GOT7(갓세븐) MONOGRAPH ""Call My Name"" EP.04",조회수 12만회,https://www.youtube.com/watch?v=ESPLicQxwbc,https://i.ytimg.com/vi/ESPLicQxwbc/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAzhDIXtX69hpXZWbTliWqBKVOFWw
122,GOT7(갓세븐) HOTLINE #7,조회수 22만회,https://www.youtube.com/watch?v=eSfBfLokmHg,https://i.ytimg.com/vi/eSfBfLokmHg/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCI32P_WYjbcC69rkuSwqIn_tXy7w
123,"GOT7(갓세븐) ""니가 부르는 나의 이름"" Dance Practice (Part Switch Ver.)",조회수 108만회,https://www.youtube.com/watch?v=fLTAjRGne_A,https://i.ytimg.com/vi/fLTAjRGne_A/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAGhg_MVVdTAi2NlLG-6tjFSiSTLw
124,"GOT7(갓세븐) ""니가 부르는 나의 이름"" Dance Practice (Name Tag Survival Ver.)",조회수 227만회,https://www.youtube.com/watch?v=I3Bh_kYi-2Q,https://i.ytimg.com/vi/I3Bh_kYi-2Q/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBAqHeSsAYcajIpDEqK9RMawXvyAQ
125,"GOT7(갓세븐) MONOGRAPH ""Call My Name"" EP.03",조회수 15만회,https://www.youtube.com/watch?v=LikQfmhA_Ps,https://i.ytimg.com/vi/LikQfmhA_Ps/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBSVyepup8NIfGmiUk20x_DOoAnBg
126,GOT7(갓세븐) HOTLINE #6,조회수 16만회,https://www.youtube.com/watch?v=8NA5z4sLINs,https://i.ytimg.com/vi/8NA5z4sLINs/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB_RwKxM7-9LeMIfI0HJdWq63rwMQ
127,GOT7(갓세븐) TOURLOG EP.16,조회수 25만회,https://www.youtube.com/watch?v=wC1sfG757Mc,https://i.ytimg.com/vi/wC1sfG757Mc/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAPWF7jDEQHxrGK-5c-JbJkNS_cJg
128,GOT7(갓세븐) TOURLOG Australia & Europe TEASER,조회수 6.3만회,https://www.youtube.com/watch?v=N4YnI8wSsX8,https://i.ytimg.com/vi/N4YnI8wSsX8/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA3w1D_zLGXTrTUhJ2Vzo6aoCwkng
129,GOT7(갓세븐) HOTLINE #5,조회수 19만회,https://www.youtube.com/watch?v=iq3vneEcGIE,https://i.ytimg.com/vi/iq3vneEcGIE/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAkCL8aCCZOAnjhRgshgWK73mmD-Q
130,GOT7(갓세븐) HOTLINE #4,조회수 19만회,https://www.youtube.com/watch?v=Ad2k6zpEoLc,https://i.ytimg.com/vi/Ad2k6zpEoLc/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDf-z0HoU1mjvuE_MLoNLzCOibcpQ
131,"GOT7(갓세븐) ""니가 부르는 나의 이름"" Dance Practice",조회수 263만회,https://www.youtube.com/watch?v=oOuxQCj-6p0,https://i.ytimg.com/vi/oOuxQCj-6p0/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBzgLfYdo7pPiSq24SX_PWoQzK1ZQ
132,"GOT7(갓세븐) MONOGRAPH ""Call My Name"" EP.01",조회수 17만회,https://www.youtube.com/watch?v=LySsvxVeMx4,https://i.ytimg.com/vi/LySsvxVeMx4/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBqFAZTUhmAfrBY6IljGA6ApaJCcA
