idx,title_list,view_list,link_list,image_list
23,aespa 에스파 ReactionㅣTAEMIN ‘Advice' 🎹 MV,조회수 89만회,https://www.youtube.com/watch?v=WijEApjdYqk,https://i.ytimg.com/vi/WijEApjdYqk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDwxEcgzbzLXiU3enqgA9zi7ZjMMg
24,[공유] aespa - Next Level 선생님 안무 컨펌 영상 공유의 건,조회수 2329만회,https://www.youtube.com/watch?v=VZVSy8H-uzY,https://i.ytimg.com/vi/VZVSy8H-uzY/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAITaqs-WmCeunlWYQ0aXGD4UGFLw
25,aespa 에스파 'Next Level' The Performance Stage #1,조회수 1098만회,https://www.youtube.com/watch?v=z58k37I4Crs,https://i.ytimg.com/vi/z58k37I4Crs/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCovesK4BuDpST7Irj6WcZ9W9YaVw
26,⚔️ aespa 'Next Level' MV Reaction⚔️,조회수 312만회,https://www.youtube.com/watch?v=YBAhQBJksMw,https://i.ytimg.com/vi/YBAhQBJksMw/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDm7rH1sL3G_5dT0J8R1kZQJ9ZU6A
27,aespa 에스파 'ep1. Black Mamba' - SM Culture Universe,조회수 1073만회,https://www.youtube.com/watch?v=vbH4Lk5wYWg,https://i.ytimg.com/vi/vbH4Lk5wYWg/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAjyEIfZb-RAwa6NkPvGa0Air5zdQ
28,What’s in my bag with aespa👜 #2,조회수 191만회,https://www.youtube.com/watch?v=rNS283VxzMc,https://i.ytimg.com/vi/rNS283VxzMc/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC1pqPB1q1LIT-X9M8sBjWexDGpKQ
29,aespa 에스파 DAZED with GIVENCHY Photoshoot Behind The Scenes,조회수 113만회,https://www.youtube.com/watch?v=dnovLCb8lSQ,https://i.ytimg.com/vi/dnovLCb8lSQ/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC0nokCNGEX2usXox4YZc0Rax_N4w
30,What’s in my bag with aespa👜 #1,조회수 220만회,https://www.youtube.com/watch?v=xUEKF5FNmPQ,https://i.ytimg.com/vi/xUEKF5FNmPQ/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCsZLwRB70WkqEbzVIRetwYzpeBjg
31,aespa 에스파 Reaction | SHINee ‘Don’t Call Me’ ☎❌ MV,조회수 153만회,https://www.youtube.com/watch?v=alHFUMLcMQU,https://i.ytimg.com/vi/alHFUMLcMQU/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD4NbJMddQ-T0uOsQSMsYb3wrm8aQ
32,여러분 립스틱은 사서 쓰세요😉💋 | SYNK TIME with KARINA,조회수 98만회,https://www.youtube.com/watch?v=qQ02F-GfgXM,https://i.ytimg.com/vi/qQ02F-GfgXM/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCTaDnIgJCFwCX--7das1NNIJVc1A
33,반짝✨반짝✨커스텀 신발🦋 | SYNK TIME with NINGNING,조회수 91만회,https://www.youtube.com/watch?v=SAt62jd2db4,https://i.ytimg.com/vi/SAt62jd2db4/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCBmT7NyGxaGQPbRyWPeY8PQACaLQ
34,"""Simple is the best✨"" | SYNK TIME with GISELLE",조회수 45만회,https://www.youtube.com/watch?v=CQtxO3pzyc4,https://i.ytimg.com/vi/CQtxO3pzyc4/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDC_c-IxNl1Nsh5fwref346NL3rNA
35,땅콩아🐶🥜 여기봐 제발~ | SYNK TIME with WINTER,조회수 65만회,https://www.youtube.com/watch?v=5bi0H7VNqKE,https://i.ytimg.com/vi/5bi0H7VNqKE/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDiV15qSA7sgnPD-USXhKRfjFdCFw
36,aespa 에스파 'Forever (약속)' The Performance Stage Behind The Scenes,조회수 47만회,https://www.youtube.com/watch?v=oImGj_JuSrM,https://i.ytimg.com/vi/oImGj_JuSrM/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDyz7z3_j51wM_XMUYYkjDgTgEK5g
37,원래 요정들은 💯점 만점에 1😇😇4점 | 🧚🏻‍♀뽀에버 요정단🧚🏻‍♀ #3,조회수 34만회,https://www.youtube.com/watch?v=JwgT6p3d6tI,https://i.ytimg.com/vi/JwgT6p3d6tI/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCLXQwjFhrODIAVxLwERQNcVBpFaQ
38,aespa 에스파 'Forever (약속)' MV Behind The Scenes,조회수 42만회,https://www.youtube.com/watch?v=vMeoR3og40s,https://i.ytimg.com/vi/vMeoR3og40s/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLATgpRAM59dxKldIF3EiraVIcYyDA
39,신호가 불안정합니다 | 🧚🏻‍♀️뽀에버 요정단🧚🏻‍♀️ #2,조회수 53만회,https://www.youtube.com/watch?v=G86AwZk960I,https://i.ytimg.com/vi/G86AwZk960I/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLACopEI1X0ukZ0osVb4mzGrEmsW6Q
40,aespa is now new Givenchy ambassador!,조회수 58만회,https://www.youtube.com/watch?v=JFDUMn5z6-A,https://i.ytimg.com/vi/JFDUMn5z6-A/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDd-EeUJBp_HXwUoYjdE29YVO3Njg
41,요정 등장✨인간 세상에 놀러 왔어요💓 | 🧚🏻‍♀️뽀에버 요정단🧚🏻‍♀️ #1,조회수 56만회,https://www.youtube.com/watch?v=uaGWqxIzW10,https://i.ytimg.com/vi/uaGWqxIzW10/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBuRj1_0-G2iRSYz4lsX6tttOZaOg
42,aespa 에스파 'Forever (약속)' The Performance Stage (Romantic Street Ver.),조회수 261만회,https://www.youtube.com/watch?v=Y6sfNV51ae0,https://i.ytimg.com/vi/Y6sfNV51ae0/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAlEBu1H27_l9iEFKsbsRl2q7UBOg
43,aespa 에스파 'Forever (약속)' The Performance Stage (Glitter Snowball Ver.),조회수 138만회,https://www.youtube.com/watch?v=0m0vMRgZbWo,https://i.ytimg.com/vi/0m0vMRgZbWo/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDYCky6kIPok3xuv9aChP_8YS7esg
